wav_filename,wav_filesize,transcript
tef_01033_00351357063.wav,0,ఈ వివాదం సెప్టెంబర్ రెండు వేల తొమ్మిదిన పరిష్కారమైనది
tef_01033_00768409265.wav,0,ప్రెస్ అకాడమీలో వెయ్యి తొమ్మిది వందల అరవై ఎనిమిది సంచిక\n
tef_02828_00406037136.wav,0,అప్పుడీ జిల్లా కేంద్రంగా అమరావతి ఉండేది
tef_02828_01625402654.wav,0,ఒక బ్యాంకు ఒక ప్రాథమిక పాఠశాల ఉన్నాయి
tef_04830_00071399449.wav,0,కానీ గ్రామాలలో ఉండేవారికి తెలుసు
tef_04830_00246502215.wav,0,ప్రిన్సిపాల్ ఒక మొమెంటోతో ప్రవేశించారు
tef_08318_00750866960.wav,0,పిన్ కోడ్ అయిదు లక్షలు మూడు వెలు వంద పదకొండు
tef_08318_01333265498.wav,0,చాలా గొంగళి పురుగులు షాకాహారులే
tef_09281_00868403693.wav,0,కాని ఆ ప్రేమను మనసులోనే దాచుకుంటుంది
tef_09281_02034334714.wav,0,ట్రూమాన్ లైబ్రరీ అండ్ మ్యూజియం
